de; 16
uso; 9
habitual; 6
y; 4
python; 3
javascript; 3
web; 3
para; 3
c++; 2
react; 2
flask; 2
por; 2
by; 2
framework; 2
to; 2
con; 2
libreria; 2
en; 2
css; 1
sigueme; 1
pronto; 1
instagram; 1
conducir; 1
españa; 1
datos; 1
enable; 1
permiso; 1
you; 1
app; 1
ugr; 1
propia; 1
github; 1
antonio; 1
made; 1
is; 1
nosql; 1
visita; 1
desarrollada; 1
gracias; 1
ayax; 1
actualmente; 1
jquey; 1
proyectos; 1
objetivo; 1
bases; 1
tengo; 1
manejo; 1
hasta; 1
cc; 1
b; 1
su; 1
licensed; 1
d; 1
change; 1
opengl; 1
contacta; 1
tecnologías; 1
la; 1
php; 1
font; 1
otros; 1
run; 1
hola; 1
mode; 1
html; 1
mysql; 1
from; 1
soy; 1
ingeniería; 1
need; 1
this; 1
gráficos; 1
apis; 1
desarrollo; 1
años; 1
sql; 1
docker; 1
clase; 1
git; 1
postgresql; 1
fonts; 1
estudio; 1
linux; 1
conocimientos; 1
ocasional; 1
antoniojr@gmailcom; 1
mongodb; 1
ordenador; 1
mariadb; 1
granada; 1
django; 1
sistemas; 1
creación; 1
profesional; 1
online; 1
informatica; 1
frontend; 1
